id,prix
ent_001,7.50
ent_002,9.00
ent_003,12.50
ent_004,8.00
ent_005,13.00
ent_006,6.50
ent_007,9.50
ent_008,11.00
plat_001,11.50
plat_002,13.50
plat_003,13.00
plat_004,13.50
plat_005,12.50
plat_006,13.00
plat_007,14.00
plat_008,15.50
plat_009,13.00
plat_010,12.50
plat_011,11.00
plat_012,13.50
plat_013,15.00
plat_014,12.50
plat_015,14.50
plat_016,14.00
plat_017,15.50
plat_018,13.00
plat_019,14.50
des_001,7.50
des_002,7.00
des_003,6.50
des_004,7.00
des_005,6.50
des_006,6.50
des_007,7.50
boi_001,3.00
boi_002,4.00
boi_003,4.50
boi_004,6.00
boi_005,6.00
boi_006,5.50
boi_007,3.50
boi_008,2.50
boi_009,3.00
